Date,Open,High,Low,Close,Volume,Market Cap
"Jul 12, 2015",293.140014648,314.394012451,292.505004883,310.867004395,56405000,4469117252
"Jul 11, 2015",284.880004883,298.506011963,283.529998779,293.114990234,41109900,4212919911
"Jul 10, 2015",269.156005859,294.591003418,268.802001953,284.894012451,100390000,4093705987
"Jul 09, 2015",270.82699585,272.334991455,267.085998535,269.227996826,40301200,3867547719
"Jul 08, 2015",265.981994629,272.971008301,264.385986328,270.785003662,36980200,3889020940
"Jul 07, 2015",269.963012695,271.341003418,264.832000732,266.207000732,28857600,3822200106
"Jul 06, 2015",271.108001709,277.42199707,267.600006104,269.029998779,49154800,3861831490
"Jul 05, 2015",260.804992676,274.506011963,258.70098877,271.912994385,44156100,3901985539
"Jul 04, 2015",256.490997314,261.457000732,254.199996948,260.885986328,15620400,3742827088
"Jul 03, 2015",255.458999634,257.07699585,253.505004883,256.335998535,19033800,3676575981
"Jul 02, 2015",258.552001953,261.631011963,254.115997314,255.412002563,21551900,3662295200
"Jul 01, 2015",263.345001221,265.17199707,255.774002075,258.621002197,27029800,3707306173
"Jun 30, 2015",257.036010742,267.867004395,255.945999146,263.071990967,44533800,3770229522
"Jun 29, 2015",248.720993042,257.17300415,248.580993652,257.063995361,34742900,3683193712
"Jun 28, 2015",250.955001831,251.17199707,247.434005737,249.011001587,15137600,3566939394
"Jun 27, 2015",243.548995972,251.339004517,243.117004395,250.990005493,20488600,3594402691
"Jun 26, 2015",242.604003906,243.74899292,241.552993774,243.593994141,13983500,3487699724
"Jun 25, 2015",240.365005493,243.332000732,240.365005493,242.798995972,16133100,3475370256
"Jun 24, 2015",244.281997681,244.341003418,240.51499939,240.51499939,17344900,3441763637
"Jun 23, 2015",246.927001953,247.304000854,243.132995605,244.296005249,15108700,3494929113
"Jun 22, 2015",243.968994141,247.917007446,243.779006958,246.990005493,17692500,3532599174
"Jun 21, 2015",245.100006104,245.223999023,241.882003784,243.944000244,10600900,3488106467
"Jun 20, 2015",244.529998779,245.82800293,240.626998901,245.212005615,20608100,3505477188
"Jun 19, 2015",249.042999268,250.977005005,243.787002563,244.606002808,23965300,3495994564
"Jun 18, 2015",249.427993774,252.108001709,244.126998901,249.007003784,30980200,3557986321
"Jun 17, 2015",250.822998047,256.852996826,246.475997925,249.283996582,43858400,3560953387
"Jun 16, 2015",236.76499939,251.742004395,236.121994019,250.895004272,41612000,3582987588
"Jun 15, 2015",233.42199707,237.835998535,233.42199707,236.822998047,19912100,3381329191
"Jun 14, 2015",232.442001343,234.858001709,232.003997803,233.542999268,12165900,3333657006
"Jun 13, 2015",229.919998169,232.651992798,229.210006714,232.401992798,13305300,3316504361
"Jun 12, 2015",229.705001831,231.057006836,229.31300354,229.981994629,14017700,3281061201
"Jun 11, 2015",228.854995728,230.287002563,228.766998291,229.705001831,14416000,3276293900
"Jun 10, 2015",228.994995117,229.781997681,228.009994507,228.802993774,15904800,3262644979
"Jun 09, 2015",228.537994385,230.953994751,227.929000854,229.04800415,28353100,3265176585
"Jun 08, 2015",222.878997803,229.464004517,222.839004517,228.488998413,23378400,3256350969
"Jun 07, 2015",225.595993042,226.194000244,222.651992798,222.880996704,13318400,3175547196
"Jun 06, 2015",225.005004883,225.718994141,224.378997803,225.619003296,11131500,3213722676
"Jun 05, 2015",224.154006958,225.968002319,223.179000854,224.95199585,18056500,3203220875
"Jun 04, 2015",225.772003174,226.580993652,224.054000854,224.324005127,14728100,3193504505
"Jun 03, 2015",225.735992432,227.404006958,223.929992676,225.87399292,17752400,3214774292
"Jun 02, 2015",222.893997192,226.416000366,222.419006348,225.802993774,20459000,3212962177
"Jun 01, 2015",230.233001709,231.712997437,221.296005249,222.925994873,26090500,3171172508
"May 31, 2015",233.134994507,233.251998901,229.542007446,230.190002441,14730800,3273756425
"May 30, 2015",237.091995239,237.093002319,232.046005249,233.345001221,14098600,3317769214
"May 29, 2015",237.376998901,237.522003174,235.731002808,237.095993042,14805000,3370295930
"May 28, 2015",237.257003784,237.824005127,236.651992798,237.408004761,13829600,3373816958
"May 27, 2015",237.065002441,238.636001587,236.695007324,237.283004761,18837000,3371257543
"May 26, 2015",237.104003906,238.242004395,235.692001343,237.115997314,16425000,3368066799
"May 25, 2015",240.927001953,241.020996094,236.636993408,237.11000061,14423900,3367127977
